api_pair,model,flip,dep,spec,he,he_plus
torch.norm->torch.linalg.norm,SC2-3B,100.0,0.0,78.5,31.1->30.5,27.4->26.8
torch.norm->torch.linalg.norm,SC2-7B,100.0,0.0,86.1,36.0->34.8,31.7->31.1
torch.norm->torch.linalg.norm,SC2-15B,100.0,0.0,90.0,47.0->46.3,39.0->39.0
torch.norm->torch.linalg.norm,DeepSeek,91.0,0.0,96.4,73.8->74.4,65.9->67.7
torch.norm->torch.linalg.norm,CodeLlama,96.0,0.0,94.8,32.3->31.1,27.4->25.0
torch.svd->torch.linalg.svd,SC2-3B,100.0,0.0,88.2,31.1->31.7,27.4->28.7
torch.svd->torch.linalg.svd,SC2-7B,100.0,0.0,93.4,36.0->34.8,31.7->31.7
torch.svd->torch.linalg.svd,SC2-15B,99.0,0.0,94.3,47.0->48.2,39.0->40.9
torch.svd->torch.linalg.svd,DeepSeek,40.0,21.0,93.0,73.8->73.8,65.9->65.2
torch.svd->torch.linalg.svd,CodeLlama,75.0,0.0,97.1,32.3->31.7,27.4->26.2
torch.cholesky->torch.linalg.cholesky,SC2-3B,94.0,0.0,57.6,31.1->31.1,27.4->27.4
torch.cholesky->torch.linalg.cholesky,SC2-7B,94.0,0.0,84.0,36.0->34.8,31.7->31.1
torch.cholesky->torch.linalg.cholesky,SC2-15B,46.0,0.0,90.6,47.0->46.3,39.0->39.0
torch.cholesky->torch.linalg.cholesky,DeepSeek,75.0,0.0,90.1,73.8->73.8,65.9->67.7
torch.cholesky->torch.linalg.cholesky,CodeLlama,80.0,0.0,97.1,32.3->32.9,27.4->28.0
torch.symeig->torch.linalg.eigh,SC2-3B,95.0,0.0,92.0,31.1->29.3,27.4->26.2
torch.symeig->torch.linalg.eigh,SC2-7B,91.0,0.0,95.0,36.0->36.6,31.7->32.9
torch.symeig->torch.linalg.eigh,SC2-15B,92.0,0.0,97.5,47.0->45.7,39.0->38.4
torch.symeig->torch.linalg.eigh,DeepSeek,94.0,0.0,91.6,73.8->73.2,65.9->66.5
torch.symeig->torch.linalg.eigh,CodeLlama,90.0,0.0,96.1,32.3->31.7,27.4->26.2
